Date,Florida
1/31/00,107057.8335
2/29/00,107289.7307
3/31/00,107570.8364
4/30/00,108142.2519
5/31/00,108758.462
6/30/00,109387.1948
7/31/00,110018.9175
8/31/00,110662.2946
9/30/00,111329.1596
10/31/00,112009.9247
11/30/00,112717.3521
12/31/00,113447.003
1/31/01,114114.1754
2/28/01,114777.0118
3/31/01,115469.9188
4/30/01,116288.4095
5/31/01,117184.9037
6/30/01,118120.6992
7/31/01,119126.7065
8/31/01,120193.0067
9/30/01,121298.454
10/31/01,122406.9346
11/30/01,123470.0101
12/31/01,124512.6213
1/31/02,125453.9831
2/28/02,126324.7546
3/31/02,127176.1112
4/30/02,128134.0447
5/31/02,129185.0872
6/30/02,130284.0069
7/31/02,131402.8106
8/31/02,132598.4835
9/30/02,133781.4043
10/31/02,134962.7739
11/30/02,136085.0602
12/31/02,137300.9406
1/31/03,138499.575
2/28/03,139731.3413
3/31/03,140994.4667
4/30/03,142401.7722
5/31/03,143888.2682
6/30/03,145363.2092
7/31/03,146823.4476
8/31/03,148316.485
9/30/03,149866.4456
10/31/03,151436.7297
11/30/03,152977.1608
12/31/03,154451.0052
1/31/04,155863.9862
2/29/04,157263.2447
3/31/04,158796.2809
4/30/04,160544.3539
5/31/04,162590.8617
6/30/04,164912.3329
7/31/04,167491.3647
8/31/04,170331.5313
9/30/04,173215.5432
10/31/04,175986.1291
11/30/04,178584.7469
12/31/04,181232.7273
1/31/05,183951.7991
2/28/05,186859.4456
3/31/05,190119.5179
4/30/05,193961.8361
5/31/05,198249.273
6/30/05,202897.0559
7/31/05,207856.9578
8/31/05,212983.2665
9/30/05,218007.6809
10/31/05,222635.0798
11/30/05,226913.387
12/31/05,230922.1599
1/31/06,234627.5659
2/28/06,238065.3643
3/31/06,241638.0139
4/30/06,245615.5714
5/31/06,249430.0782
6/30/06,252623.6953
7/31/06,254815.1985
8/31/06,256253.7781
9/30/06,256856.5178
10/31/06,256829.2743
11/30/06,256444.3683
12/31/06,255674.5071
1/31/07,254700.4863
2/28/07,253647.63
3/31/07,252437.8663
4/30/07,251040.8687
5/31/07,249221.7919
6/30/07,246948.2719
7/31/07,244209.4483
8/31/07,241182.452
9/30/07,238083.4578
10/31/07,234913.9045
11/30/07,231599.7744
12/31/07,228238.692
1/31/08,224587.123
2/29/08,220983.133
3/31/08,217134.1025
4/30/08,213386.0892
5/31/08,209359.4159
6/30/08,205443.488
7/31/08,201439.6378
8/31/08,197276.9165
9/30/08,193043.501
10/31/08,188761.502
11/30/08,184551.2256
12/31/08,180525.7701
1/31/09,176739.6794
2/28/09,173375.4676
3/31/09,170212.7667
4/30/09,167063.6635
5/31/09,164017.1545
6/30/09,161119.1444
7/31/09,158639.5056
8/31/09,156354.9327
9/30/09,154263.278
10/31/09,152493.7106
11/30/09,151313.8719
12/31/09,150417.2089
1/31/10,149726.9586
2/28/10,149125.8828
3/31/10,148716.4347
4/30/10,148358.9401
5/31/10,147895.4234
6/30/10,147196.457
7/31/10,146227.7622
8/31/10,145018.0906
9/30/10,143697.564
10/31/10,142316.5552
11/30/10,140918.0309
12/31/10,139584.956
1/31/11,138252.8233
2/28/11,136989.6333
3/31/11,135699.5119
4/30/11,134451.3187
5/31/11,133204.6913
6/30/11,132077.8282
7/31/11,131039.3815
8/31/11,130222.352
9/30/11,129608.1772
10/31/11,129256.0873
11/30/11,129076.1114
12/31/11,128994.0746
1/31/12,129022.5631
2/29/12,129143.802
3/31/12,129337.7369
4/30/12,129699.1913
5/31/12,130167.1385
6/30/12,130801.2189
7/31/12,131437.237
8/31/12,132002.7909
9/30/12,132604.4376
10/31/12,133350.3767
11/30/12,134406.696
12/31/12,135814.5175
1/31/13,137424.6205
2/28/13,139068.3419
3/31/13,140745.7161
4/30/13,142473.3429
5/31/13,144421.9468
6/30/13,146331.4216
7/31/13,148165.6502
8/31/13,149916.8719
9/30/13,151618.7664
10/31/13,153415.6066
11/30/13,155002.646
12/31/13,156621.8595
1/31/14,158163.0763
2/28/14,159824.0168
3/31/14,161381.687
4/30/14,162768.825
5/31/14,164137.0128
6/30/14,165270.831
7/31/14,166438.9391
8/31/14,167432.9441
9/30/14,168466.1261
10/31/14,169333.1949
11/30/14,170416.7565
12/31/14,171701.6288
1/31/15,173104.4403
2/28/15,174333.8896
3/31/15,175419.4294
4/30/15,176509.6815
5/31/15,177744.5992
6/30/15,179010.806
7/31/15,180454.5163
8/31/15,181982.9277
9/30/15,183645.5533
10/31/15,185382.9172
11/30/15,187058.1256
12/31/15,188613.4539
1/31/16,190047.098
2/29/16,191406.0534
3/31/16,192655.2408
4/30/16,193978.4265
5/31/16,195287.8331
6/30/16,196687.6022
7/31/16,197916.3177
8/31/16,199189.4186
9/30/16,200619.5194
10/31/16,202210.4087
11/30/16,203666.6523
12/31/16,204874.3636
1/31/17,205932.582
2/28/17,207116.9467
3/31/17,208499.6028
4/30/17,209968.5954
5/31/17,211255.1822
6/30/17,212582.0382
7/31/17,213842.669
8/31/17,215265.9467
9/30/17,216644.4834
10/31/17,218122.7781
11/30/17,219644.0815
12/31/17,221236.8045
1/31/18,222653.4171
2/28/18,223897.5656
3/31/18,225149.0829
4/30/18,226389.3886
5/31/18,227675.7364
6/30/18,228759.3234
7/31/18,230164.0073
8/31/18,231536.2286
9/30/18,232929.6731
10/31/18,234076.4023
11/30/18,235294.1001
12/31/18,236610.1064
1/31/19,237797.7171
2/28/19,238863.3814
3/31/19,239583.9962
4/30/19,240104.3248
5/31/19,240383.9874
6/30/19,240789.1607
7/31/19,241313.0557
8/31/19,242027.5389
9/30/19,242737.8222
10/31/19,243679.0743
11/30/19,244966.489
12/31/19,246553.121
1/31/20,248475.3896
2/29/20,250286.419
3/31/20,251877.5508
4/30/20,252845.3701
5/31/20,253112.2783
6/30/20,253246.1146
7/31/20,253817.7749
8/31/20,255393.5794
9/30/20,257920.9389
10/31/20,260911.6088
11/30/20,264422.9684
12/31/20,267912.9574
1/31/21,271525.0382
2/28/21,275123.6836
3/31/21,278969.1305
4/30/21,283245.4723
5/31/21,288420.5267
6/30/21,294756.1139
7/31/21,301244.058
8/31/21,307016.0041
9/30/21,311692.9152
10/31/21,316297.745
11/30/21,321449.0411
12/31/21,327017.3001
1/31/22,334007.3944
2/28/22,342137.7508
3/31/22,351734.1805
4/30/22,361825.7186
5/31/22,371497.3611
6/30/22,380094.2596
7/31/22,385927.3525
8/31/22,388879.8443
9/30/22,389257.376
10/31/22,388774.9688
11/30/22,388068.6412
12/31/22,387222.9791
1/31/23,385875.855
2/28/23,384735.1453
3/31/23,384271.1892
4/30/23,384716.3202
5/31/23,385769.5521
6/30/23,387444.5707
7/31/23,389148.0234
8/31/23,390836.1272
9/30/23,392010.106
10/31/23,393073.8159
11/30/23,394006.4609
12/31/23,394838.824
1/31/24,395544.8135
2/29/24,396272.8569
3/31/24,397137.437